belief	reconciled
blossom	terminates
cataract	scooped
centre	govern
construction	displayed
corpse	comes
cruelty	involved
dependency	becomes
desert	met
difficult	involved
difficult	realize
fight	taken
great	known
greatness	appreciated
khuenaten	traced
labours	derived
labyrinth	connected
light	goes
lion	being
lion	called
mercenaries	assigned
miles	enlarges
monarchy	re-established
patriarch	drove
pharaoh	restores
prosperity	restoring
pyramid	realize
races	conquering
rome	_
sculptor	given
side	terminates
son	assigned
son	encourages
son	rendered
son	terminates
state	save
state	sinking
success	attains
west	rendered
west	shut
width	shaped
wings	shadowing
access	stretched
age	contained
age	deserved
age	told
alluvium	bore
aspect	forbidding
avenues	planted
awe	felt
back	turning
bed	divert
bed	fill
bed	scooped
bed	turn
buildings	crowned
cities	contained
clusters	offered
crowns	wore
date	speculated
date-palm	offered
date-palm	planted
date-palm	springing
day	does
degrees	filled
dells	hanging
deposits	fill
deposits	gone
description	objected
description	presents
desert	separated
diameter	belongs
disappearance	explain
distance	penetrating
division	preferred
element	formed
energy	scooped
expression	fill
expression	proceeded
expression	scooped
expression	used
eye	commands
familiarity	gives
flames	offered
fluid	sufficed
forms	manifest
fowls	sacrificed
fruit	dropping
furlongs	grow
garden	make
glance	seems
gorges	hanging
hand	growing
heads	raise
heart	rejoices
heather	moss
hebrew	thought
heights	clothe
highlands	brought
hills	enclosing
hills	recede
horizon	rests
hue	gives
hue	prevents
husbandman	returned
idea	called
idea	caught
idea	designate
kings	called
kings	wore
land	grow
land	left
land	showest
land	watering
lap	dropping
lentils	formed
map-makers	draw
maps	give
mazor	called
mazors	means
men	taken
merchantmen	brought
merchantmen	start
mile	enters
mile	reflects
mizraim	means
monotony	surrounds
mortals	extol
name	thought
number	called
observer	impresses
occupying	covers
occupying	deposes
occupying	leaves
ocean	sunk
ones	felt
origin	tell
part	rise
part	spurn
passage	absorbs
places	cut
places	grown
places	scooped
plain	canopied
plain	stretching
quantities	produced
ranges	approaches
reader	presents
region	spread
regions	contrasted
regions	working
reservoirs	working
rills	approaches
rills	babbling
rills	intended
rills	rise
river	speculated
rock	cut
rule	called
seasons	tinged
ships	issue
ships	works
shores	running
sides	bounded
sides	leaves
sky	canopied
sky	rests
snake	lies
sojourn	gives
south	bears
south	lies
streams	rushing
sustenance	depended
time	obtain
time	presenting
time	represented
times	depended
tract	introduced
traffic	carry
traveller	approaches
traveller	finds
traveller	meet
traveller	sees
traveller	stretching
traveller	surrounds
trees	clothe
vale	finds
value	derives
vegetables	produced
view	commands
vine	grown
water-system	connected
waters	divert
waters	recede
wayfarer	enters
wayfarer	offered
wayfarer	proceeds
wills	embraces
woods	hanging
yards	grow
year	bore
year	disappears
year	growing
after-glow	gives
agates	yields
appearance	presents
atmosphere	rests
banquets	wore
barriers	cut
barriers	forming
beasts	rescue
blue-grey	gives
blushes	burning
branches	curved
branches	dividing
calamities	arise
carnelians	yields
castles	shining
cattle	hurrying
causes	relieved
chalcedonies	yields
circumstances	attains
clings	burning
countries	causing
countries	forming
countries	hindering
country	rejoices
crocodile	hunted
crops	begin
crops	reaped
danger	brings
day	follows
day	relieve
day	show
desert	yields
distance	veils
effects	produced
elevations	crowned
elevations	glassed
emeralds	abound
empyrean	spans
evening	relieve
expanse	rises
eye	travels
fisherman	afford
flavour	resembling
flood	glassed
flowers	bloom
formation	begins
forms	modelled
glory	began
glory	continued
gods	offered
guests	wore
hatreds	causing
height	grown
height	rises
hippopotamus	hunted
homer	ascribed
hues	shining
inhabitants	saving
inhabitants	seen
inhabitants	swim
inhabitants	wade
intervals	stud
inundation	begins
inundation	brings
islands	interspersed
jaspers	yields
king	built
king	floated
kings	offered
lake	becomes
lake	interspersed
lake	reminded
lake	stud
land	dug
land	flowed
land	obtained
landscape	chase
light	diffuses
light	makes
march	ripen
may	reigns
men	descend
men	drawn
men	invented
miles	floated
mist	veils
monotony	relieve
monotony	relieved
months	remaining
moon	rises
morning	comes
morning	relieve
mosques	shining
night	brings
numbers	rescue
obelisks	shining
one	recognizing
one	saw
pace	ascend
palaces	shining
paper	manufactured
papyrus	lotus
parallels	begins
period	acquainted
pheasants	arrive
pheasants	snipe
pith	containing
plain	appeared
population	scared
powers	seemed
quails	arrive
rainbow	spans
rainstorm	sweeps
red	blushes
reed	manufactured
regions	intruded
river	constitute
river	divides
river	left
river	reaching
river	retiring
romans	preferred
root	ascribed
scene	rests
shadows	chase
shadows	thrown
side	burning
sirocco	lasts
sirocco	produces
spring	reigns
stars	lit
statues	shining
stream	ascend
summer	make
sun-rays	composed
surface	stud
temple	built
