apartment	cosy
capital	english
claret	cinnamon-spiced
club	exclusive
columns	ionic
columns	red
comb	large-tooth
contest	congenial
contrary	avaricious
credit	open
cut	shortest
days	younger
employment	public
eye	clear
face	light
face	pleasant
face	serviceable
face	soft-mannered
features	handsome
figure	tall
figure	well-shaped
flooring	mosaic
friends	unusual
game	congenial
gestures	superfluous
habit	daily
habits	daily
habits	open
hair	brown
hand	left
heart	own
houses	english
insects	pernicious
lakes	american
life	daily
life	tranquil
manner	mysterious
manner	taciturn
master	as
masters	irregular
masters	whimsical
members	favoured
members	other
men	communicative
men	expressive
minutes	slow
moment	exact
motion	automatic
motions	economical
name	strange
nature	lively
october	2nd
pastimes	sole
personage	enigmatical
probabilities	true
purpose	benevolent
purpose	noble
purpose	useful
remonstrance	mild
room	same
sculptors	ancient
servant	new
soles	swan-skin
step	many
steps	economical
stores	succulent
struggle	congenial
struggle	unwearying
successor	due
table	same
tastes	congenial
teeth	magnificent
thing	open
thing	same
trades	several
travellers	unheard-of
waiters	gravest
walk	buttery
windows	blue
words	clear
words	few
words	true
years	early
years	many
youth	luckless
air	well-to-do
band	professional
books	useless
clock	electric
comer	first
country	safe
deal	false
detectives	skilful
entry	dark
examination	judicial
fellow	clever
fellow	shrewd
foot	right
garden	gilded
garden	open
garden	tasteful
gentleman	domestic
gentleman	methodical
gentleman	regular
gentlemen	true
habits	peaceable
habits	tranquil
instant	same
libraries	other
machine	real
man	next
manners	polished
mansion	pleased
mansion	solemn
months	round
operation	delicate
paintings	lavishly-framed
place	first
place	right
ports	other
purposes	pleased
pursuit	successful
smile	broad
spirits	hopeful
standard	next
stories	lower
story	second
system	same
table	habitual
taste	best
times	left
times	right
times	uncut
tone	low
trees	gilded
way	strange
weather	bad
weather	contrary
world	big
composure	stoical
contrary	possible
deal	false
delay	accidental
delay	single
gentlemen	good
half	other
hand	feverish
hour	right
hour	unaccustomed
journey	impossible
midnight	due
minimum	well-used
october	2nd
party	ready
project	difficult
quarter	due
response	tranquil
room	good
room	own
saturday	due
thing	serious
wednesday	2nd
wednesday	due
article	long
attempt	vain
beggar-woman	poor
bonnet	wretched
business	great
canal	abridged
canal	great
carpet-bag	modest
cause	popular
characters	suspicious
company	oriental
consul	british
delay	single
departure	sudden
distances	moderate
eleven	due
end	other
eyes	good
face	intelligent
feather	tattered
gamblers	mere
gentleman	polished
gentlemen	unnecessary
half	abridged
heart	susceptible
impatience	easy
impatience	feverish
individuals	rash
lord	noble
majority	large
men	moneyed
night	dark
october	9th
personage	other
personage	slight-built
personage	small
personage	unable
public	general
rain	steady
sensation	lively
sex	gentler
shawl	ragged
soil	native
success	necessary
time	twentieth
town	fast-growing
train	whirling
treasure	enormous
wagers	heavy
warmth	much
ways	solitary
winter	uncommon
woman	good
yesterday	bespoken
art	real
countenances	honest
crowd	busy
crowd	half-past
fee	customary
folks	good
folks	honest
galleys	ancient
glance	keen
glance	rapid
hour	safe
hull	gigantic
mails	indian
man	honest
nations	various
part	greater
passport	genuine
passport	official
passports	good
robber	safe
robbers	great
route	other
seal	official
thing	artistic
thing	light
visa	useless
weather	chilly
weather	clear
whistles	sharp
windfalls	such
bet	eccentric
bet	foolhardy
countries	distant
countries	foreign
day	very
detective	excited
detective	suspicious
existence	solitary
fellow	worthy
gentleman	phlegmatic
gesture	defiant
hurry	great
man	honest
october	9th
rain	driving
record	methodical
reward	large
sum	enormous
time	long
while	little
air	careless
air	cool
cabin	forward
chronometers	picturesque
coast	african
coast	asian
coast	indian
coffee-cup	immense
coffee-fields	vast
curiosity	least
errand	secret
exertions	vigorous
fellow	sharp
fellows	best
fellows	good
forces	british
forces	regular
games	tranquil
government	central
grades	various
gulfs	boisterous
gulfs	full
habits	former
historians	old
hull	long
interest	great
journey	longer
men	military
moments	many
navigators	ancient
ogre	famished
peninsula	indian
personage	eccentric
pianos	silent
place	celebrated
place	curious
rolling	persistent
sacrifices	ample
salaries	high
seas	distant
seas	worth
ship	good
smile	amiable
