account	gives
adults	found
adventures	delight
ambassadors	arrive
ambassadors	sue
archaisms	changed
book	appropriated
book	beguiled
book	combines
book	provoked
children	appropriated
children	combines
children	continued
design	informed
disposition	gains
ears	offend
end	beguiled
escape	makes
expressions	explaining
foot-notes	added
generals	commanded
invasion	prevents
life	swims
list	leave
majesty	pleased
manner	diverts
maps	correcting
meaning	read
mind	adapted
narrative	underlies
passages	omitted
pockets	searched
scholars	disputes
skill	shows
storm	described
storm	goes
stratagem	prevents
tailors	employed
travels	published
treason	accuse
troops	draw
words	explaining
addition	got
authors	provided
authors	reading
birds	appear
business	began
churchyard	observed
condition	alter
conscience	suffer
country	carried
creature	accepted
creature	applied
creature	believed
creature	bound
creature	close
creature	commit
creature	communicated
creature	continued
creature	determined
creature	encouraged
creature	find
creature	got
creature	grew
creature	having
creature	imitate
creature	intended
creature	laid
creature	left
creature	maintain
creature	maintaining
creature	married
creature	observed
creature	perused
creature	received
creature	recommended
creature	removed
creature	resided
creature	resolved
creature	sending
creature	sent
creature	spent
creature	studied
creature	think
creature	took
creature	venture
creature	walking
curiosity	see
daughter	kneeled
father	continued
father	sent
finger	held
fortune	got
friends	having
gale	gave
half	continued
language	learning
levant	making
life	swims
mistakes	commit
months	studied
offer	accepted
parts	making
patients	recommended
persons	communicated
persons	send
portion	received
princess	held
progress	make
reader	inform
reader	receive
sailors	get
shipwrecked	is
shipwrecked	swims
sons	laid
storm	driven
studies	close
thing	affirmed
things	mend
times	perused
tombs	observed
voyage	making
voyages	relating
wapping	removed
wife	consulted
work	fit
work	see
world	send
years	dying
years	studied
accent	ceased
air	shot
arm	fastened
arm	lifting
arm-pits	felt
body	felt
bottom	feel
breast	advancing
companions	lost
computation	rowed
condition	observe
creature	perceived
creatures	discharged
creatures	felt
creatures	pierce
creatures	ran
creatures	seize
creatures	shot
depth	found
eyes	bending
eyes	look
finger	putting
flight	shot
foot	erected
fright	ran
grass	lay
ground	erected
ground	fastened
ground	leaping
half	erected
hand	covered
hand	discharged
hand	lifting
hand	pricked
hours	eaten
illustration	mentioned
inches	turn
inhabitants	bring
intelligence	provided
ladders	applied
ladders	mount
leg	moving
ligatures	felt
lord	call
lord	learned
manner	eaten
manner	lifting
manner	tied
meantime	felt
method	lie
mile	advanced
mile	walked
morsel	eaten
mouth	putting
mouth	walked
needles	pricked
night	continue
noise	heard
observation	found
oration	began
orders	provided
others	meant
others	repeated
others	taken
part	swam
person	acted
person	appeared
person	attended
person	began
person	cried
person	support
pull	gave
pull	loosened
reader	believe
right	turning
rock	escaped
rock	spied
seamen	spied
shore	conjectured
shore	got
side	fastened
side	stood
side	tied
sides	applied
sides	leaping
sides	stick
sky	see
spears	attempted
speech	understood
stage	descended
stage	erected
strings	break
strings	permit
sun	began
sun	lifting
thighs	felt
time	felt
time	ran
time	seize
times	cried
times	repeated
train	held
upwards	look
vessel	left
way	mount
whereupon	cut
whereupon	turning
wind	driven
witness	calling
words	answered
words	explained
words	repeated
air	saw
behavior	interpreted
body	mount
body	passing
bonds	break
breast	danced
circumstances	added
cords	relaxing
countenances	withdrew
credentials	producing
degree	relaxing
difficulty	place
difficulty	raise
ease	get
eating	drank
eating	found
eating	hold
engines	carried
eyes	applied
face	advanced
face	daubed
ground	dash
ground	raised
ground	sleeping
hand	rolled
hands	daubed
head	shook
hogshead	brought
hogshead	drank
hogsheads	throw
hours	slept
imaginations	drove
inches	raised
landing	sleeping
liberty	desired
loaves	took
machine	prepared
manner	drank
mathematicians	arrived
mechanics	arrived
mercy	expect
minutes	removed
minutes	spoke
mortals	appear
mortals	durst
mortals	observed
mouthful	ate
occasion	imitated
order	mingled
people	beat
people	being
people	found
people	slung
people	warning
perfection	arrived
physicians	mingled
pint	hold
potion	mingled
prince	builds
prince	has
prince	whereof
prisoner	carried
purpose	answered
purpose	appeared
purpose	putting
quantity	suffice
right	turn
shoulders	dressed
shoulders	shaped
shout	_
smell	removed
strings	break
taste	distinguish
thoughts	wonder
timber	grows
time	appeared
time	took
times	_
tokens	gave
top	beat
train	hurting
train	withdrew
vehicle	raise
vessels	saw
way	crying
way	stand
wheels	moving
wonders	performed
words	answered
attendants	held
attendants	ran
awe	strike
bandages	fastened
bandages	girt
beast	descended
beholders	strike
body	girt
body	mounted
body	mounting
bridle	held
chairs	;[
cords	draw
cords	fastened
disposition	gains
distance	sat
edifice	determined
empress	attended
empress	sat
engine	climbed
engine	slung
face	put
face	tickled
feet	reared
fields	intermingled
garden	appeared
garden	continued
gate	fronting
guards	stole
hand	looked
hand	viewed
hands	girt
hooks	fastened
horse	happened
hours	raised
journey	began
ladies	attended
leg	locked
legs	girt
liquor	infused
march	continued
means	suffer
metropolis	draw
morning	continued
mountain	moved
mouthfuls	afforded
neck	girt
night	rested
noon	arrived
north	fronting
nose	tickled
operation	performing
padlocks	conveyed
pistols	taken
place	stood
pockets	searched
poles	erected
poles	fastened
prince	alighted
prince	kept
prince	ordered
prince	surveyed
proclamation	forbid
proclamation	issued
prospect	beheld
purpose	erected
score	conveyed
score	locked
seat	kept
semi-circle	walking
sight	appeared
sight	reared
sleep	lay
smith	conveyed
straw	tickled
sword	taken
temple	applied
temple	esteemed
temple	looked
theatre	looked
times	mounted
tower	advancing
tower	descended
town	viewed
trees	appeared
trees	judge
vehicles	took
way	put
weeks	advancing
weeks	climbed
weeks	knew
wheels	pushed
while	stopt
window	conveyed
workmen	cut
workmen	found
workmen	girt
answer	_
answer	apprehend
answer	swear
answers	returned
arrows	despatch
arrows	poisoned
arrows	shoot
assignments	gave
beds	brought
beds	worked
beeves	deliver
breaking	apprehended
carriages	brought
city	deliver
clemency	represented
coat-pocket	put
coat-pockets	put
colonel	ordered
colonel	thought
commission	issued
computation	provided
councils	held
country	left
court	retired
criminals	gave
demesnes	lives
description	deceived
desire	express
diet	cause
difficulty	got
establishment	ordered
expense	attend
eye	missed
face	shoot
famine	cause
fees	got
fobs	put
fortnight	gave
friend	assured
friend	concerning
ground	lay
ground	sat
ground	set
guard	left
habits	conjectured
hand	drawn
hand	took
hands	bound
hands	shoot
hands	trust
horses	exercised
house	got
house	worked
impertinence	prevent
inconvenience	provided
jewels	adorned
kingdom	spread
kingdom	swear
knees	repeated
language	instruct
language	learning
languages	spoke
liberty	give
liberty	repeated
maintenance	allowed
majesty	gave
majesty	provided
majesty	turn
man	bound
man	ran
man	set
man	squalled
masters	assist
meantime	held
metropolis	plague
night	got
officers	answered
officers	gave
orders	gave
patience	advised
patience	take
peace	swear
penknife	take
persons	set
persons	took
persons	trust
pocket	put
pocket	taking
pockets	turn
prince	attend
prince	lives
punishment	deliver
reach	pushing
sheep	deliver
side	lay
sight	exercised
sort	converse
strings	cutting
tailors	make
things	answered
things	needs
treasury	gave
victuals	deliver
villages	emptied
visits	honored
