act	catch
appeal	added
appeal	hurt
area	pursue
attackers	left
back	support
beltcom	interrupted
bodies	find
body	knew
building	led
bullets	wish
captain	tell
class	commissioned
culprit	identify
direction	looked
dislike	taken
distinction	given
eyes	flickered
feelings	hurt
fight	left
fight	wounded
folder	'd
folder	added
folder	brought
folder	look
folder	opened
folder	scanned
frown	looked
frustrtion	hide
gesture	stopped
god	thanked
hands	burned
hands	happen
head	bowed
help	get
help	need
hospital	attacked
hospital	hit
id	says
infliction	accompanied
injuries	seemed
kiss	jumped
lips	crossing
litter	picked
litter	putting
locals	talk
mark	burned
marks	saw
medic	joining
mood	landing
mood	respecting
needs	tended
orders	gave
others	followed
rites	giving
salute	given
schoolmates	hear
second-in-command	call
second-in-command	motioning
second-in-command	talk
seconds	stared
sir	found
smile	brought
so	expect
so	get
so	rated
so	returned
stomach	needed
survivor	found
survivors	checking
team	take
thoughts	going
use	get
use	playing
victims	find
victims	found
victims	make
voice	replaced
war	begun
war	devastated
wave	returned
way	'm
woman	working
years	looked
years	take
air	smelled
air	waste
aircraft	exited
briefing	gathered
cashier	found
cashier	paid
cashier	settled
cashier	tell
clinic	stabilized
coffee	sipped
disc	's
disc	correcting
disc	floating
disc	pop
disc	pops
disc	says
discharge	hamper
discharge	want
discs	called
doctor	caused
doctor	wish
doctors	decided
doctors	know
doctors	speak
endorsement	request
enemies	protect
engines	listened
facts	accepted
form	saw
form	scanned
fusion	mentioned
hand	raised
incidents	involved
interests	represent
item	understood
killer	looked
kingdom	protect
landing	woke
leave	accumulated
leg	sitting
life	save
life	threatened
man	asked
man	found
man	get
man	held
medtech	looked
mobility	limit
moment	please
name	wrote
neurosurgeon	introduced
neurosurgeon	looked
noon	used
odds	're
operations	allowed
others	began
others	recruited
others	slept
pastries	choose
people	found
people	involved
physician	spoke
plane	get
procedure	limit
procedure	sounds
quarters	visiting
rest	get
shocks	given
shower	finish
shower	get
smile	returning
snow	smelled
stay	help
stuff	boil
stuff	used
summary	like
surprise	woke
table	found
tech	dismissed
tech	extended
towel	wrapped
waist	wrapped
waiver	request
walk	give
water	turned
welfare	felt
work	hamper
works	mentioned
advocate	am
advocate	asked
advocate	beginning
advocate	countermand
advocate	defend
advocate	does
advocate	goes
advocate	kicked
advocate	know
advocate	nodded
advocate	see
advocate	thought
advocate	told
anguish	conceal
anxiety	took
apprehension	overcoming
armchair	collapsed
aversion	removed
body	imposed
brands	refused
briefcase	retrieved
cause	given
centimeters	tried
clock	glanced
communion	take
concern	concealed
desk	taking
doctor	disturb
doctor	thinking
door	tapped
efforts	supposed
efforts	thank
eyes	rubbed
fact	caused
fact	want
forms	pick
god	hope
hand	mean
hand	raised
hands	laced
hands	refused
harshness	concealed
head	laced
hospital	being
host	swallowed
hour	entered
hours	collapsed
hours	returned
image	get
interests	protect
liturgy	found
locals	arrived
mass	entered
meeting	perplexed
mind	get
moment	fits
moment	thought
moments	looked
monastery	raised
move	get
name	called
needs	ministering
nod	left
office	entered
ops	endorsed
orders	countermand
parents	died
patient	asked
patient	condemning
patient	release
places	prevailed
positions	reversed
question	ask
recovery	refused
reminders	live
request	endorsed
respect	forfeit
ribs	strapped
room	got
sacrament	concentrate
salute	gave
sheets	glanced
solution	find
solution	found
staff	bothered
staff	make
stay	help
sterility	resulting
subject	getting
surgery	got
tears	holding
thought	grinned
thoughtfulness	appreciated
thoughts	found
time	took
vocation	help
voice	put
woman	concealed
woman	give
woman	given
woman	see
word	does
word	goes
years	used
bed	shared
bed	sit
bonus	's
bonus	helps
break	make
breath	took
carpeting	work
citizens	protect
clipboard	replaced
clipboard	studied
clipboard	took
colonels	belong
colonels	work
combat	hone
dammit	sworn
day	found
day	walk
decision	make
desk	stuck
drugs	get
feet	're
forehead	kissed
forms	took
head	shook
hell-marks	go
information	passed
instructor	know
kingdoms	protect
maniac	'm
maniac	need
maniac	raving
maniac	spayed
maniac	thank
marks	keeping
moment	studied
necessity	hating
notations	initialed
notations	replaced
office	escorted
officer	shared
offices	work
outlawry	felt
outlawry	harming
outlawry	share
outlawry	upsetting
personnel	chuckled
personnel	convinced
question	answer
question	gave
rogue	get
sedatives	'm
shock	gave
strength	get
target	taking
test	passing
trooper	killing
voice	brought
warrant	go
way	get
yesterday	found
academy	taught
arms	took
artist	draw
artist	included
artist	includes
artist	make
artist	think
artist	try
attention	attract
attention	expect
authorities	understand
bandages	come
bed	share
breakfast	brought
breakfast	go
breath	took
brothers	damaged
cases	deal
chance	get
chapter	ate
chapter	started
church	understand
civilians	resented
civilians	understand
confidence	gaining
consolation	face
dances	provide
danger	condemned
debriefers	talk
debriefers	want
face	reading
face	saw
fact	remained
facts	remember
gear	send
goal	reach
goodbye	fault
goodbye	held
goodbye	looked
halt	called
hand	covered
hand	held
