ability	showed
accounts	appear
accounts	conflicting
achievement	marched
achievement	taken
achievement	threading
acknowledgment	lost
acre	dotting
action	opened
adherence	resulted
advance	continued
advance	endeavoured
advance	meant
advance	stay
adversaries	charge
adversaries	suppose
adversaries	turn
adversary	turned
advisers	played
advisers	succeeded
age	introduced
ages	lies
ages	produced
aid	ridden
aims	guided
alternative	chose
ancestors	bore
annalists	make
annalists	speak
annalists	write
answer	found
appearance	presented
appearance	regard
arbalest	preserve
arbalest	reckoned
arbalest	suggested
arbalest	superseded
arbalests	winding
archer	beat
archer	faced
archer	supported
archers	composed
archers	consist
archers	disposed
archers	driven
archers	enfiladed
archers	escaped
archers	flanked
archers	hope
archers	maltreated
archers	opposed
archers	placed
archers	proceeded
archers	protected
archers	rolled
archers	shot
archers	stood
archers	took
archers	tried
archery	supported
aristocracy	composed
aristocracy	imagined
arm	introduced
arm	reckoned
armagnacs	lay
armies	employing
armies	gathered
armies	guided
armies	lose
armies	met
armies	miss
armies	neglecting
armies	opposing
armies	raise
armies	relieving
armies	reported
armies	stray
armour	protected
armour	weighed
armour	wore
arms	carried
arms	concerned
arms	flocked
arms	handle
arms	led
arms	raise
arms	stood
arms	utilising
arms	wielded
arms	wore
army	accompanied
army	accomplished
army	arrive
army	arrived
army	attack
army	attacking
army	commanded
army	consisted
army	dash
army	destroy
army	dispersed
army	draw
army	entered
army	established
army	executed
army	faced
army	find
army	form
army	formed
army	furnishing
army	increased
army	invading
army	left
army	march
army	marched
army	moved
army	outflanked
army	raised
army	recast
army	recruited
army	relieving
army	seized
army	served
army	serving
army	succeeded
army	throw
army	trusted
army	wear
arquebus	retained
arrangements	fared
array	brought
array	cramped
array	drawing
array	established
array	master
array	opposed
arrow	reached
arrows	discharge
arrows	falling
arrows	fell
arrows	relied
arrows	struck
arrows	use
arrows	â
art	codify
art	existing
artillerists	begun
artillery	know
artillery	used
ascendancy	assert
ascendancy	assumed
ascendancy	give
ascendancy	growing
ascendancy	obtains
ascendancy	possessed
assault	delivering
assault	protected
assault	rivals
assaults	disturb
assaults	make
assaults	repelled
assaults	tried
assistance	given
atoms	shattered
attack	accompanied
attack	aimed
attack	beat
attack	break
attack	dashed
attack	delivered
attack	developed
attack	employ
attack	intended
attack	meet
attack	preceded
attack	projected
attack	slashing
attacks	frustrated
attempt	collected
attempt	engaged
attempt	fell
attempt	gave
attempt	put
attempt	refrained
attempts	resisting
attendant	drove
attendant	provided
attention	concentrate
attention	paid
attention	turned
authorities	described
authorities	draw
authority	enjoyed
authority	expired
authors	assume
authors	condescend
axemen	advanced
axemen	bear
axemen	drove
axemen	enacted
axemen	hew
axemen	sent
axemen	surrounded
axemen	turn
back	fight
backs	recoiled
balance	turned
bandon	retiring
bandon	spoken
bands	face
bands	placed
banks	protected
banner	assembling
banner	fell
bannerole	ornamented
banners	placed
barbs	extended
barons	suffered
barrier	break
barrier	interposed
basis	formed
bastions	invented
batteries	opposing
battle	attracted
battle	bring
battle	commenced
battle	concluded
battle	entrusted
battle	fight
battle	finish
battle	forced
battle	formed
battle	fought
battle	held
battle	lost
battle	took
battle	waiting
battle	won
battle-axe	bore
battle-axe	proved
battlefield	dragged
battlefield	foreswore
battlefield	presented
battlefield	reproduced
battlefield	ridden
battlefields	won
battles	fighting
battles	find
battles	fought
battles	winning
besieger	continued
besieger	drew
besieger	get
besieger	sat
besieger	selected
blow	aimed
blow	cleaving
blow	missed
blow	strike
blow	struck
blunders	make
boar-crest	wrought
bodies	accustomed
bodies	attack
bodies	disciplined
bodies	protected
bodies	surround
bodies	uniting
body	attacked
body	come
body	precede
books	survive
borders	defend
bow	added
bow	carried
bow	form
bow	known
bow	possess
bow	preserve
bow	provided
bow	used
bow-strings	possess
bowman	boast
bowman	â
bowmen	mounted
bowmen	supported
bravery	fell
breach	storming
brigade	called
brigade	formed
brook	halted
brook	lined
brook	protected
brook	ran
brook	recoiled
bruceâ	turn
bucklers	gained
bucklers	laid
building	round
bullet	advancing
burst	dashed
butchery	â
byrnieâ	â
byzantinism	accepted
camp	coming
camp	kept
camp	sending
campaign	concluded
campaign	fought
campaign	protracting
campaigns	proved
canal	tumbled
cannon	lost
cannon	win
cantons	consisted
cantons	employing
cantons	wrangle
capital	throw
cardona	driving
care	placed
care	provided
care	required
career	investigate
carlisle	reached
case	achieves
case	gives
case	thought
case	wins
cases	resulted
caste	connected
castle	built
castle	provided
castles	guarded
castles	shut
cat	brought
cavaliers	dragged
cavaliers	matched
cavalry	act
cavalry	aid
cavalry	broke
cavalry	catch
cavalry	collected
cavalry	consisted
cavalry	cut
cavalry	entrust
cavalry	foraging
cavalry	gave
cavalry	got
cavalry	halt
cavalry	lay
cavalry	meet
cavalry	overthrow
cavalry	placed
cavalry	played
cavalry	pursuing
cavalry	reached
cavalry	recommended
cavalry	rely
cavalry	replaced
cavalry	ridden
cavalry	rode
cavalry	sent
cavalry	strengthen
cavalry	supported
cavalry	turned
cavalry	â
centre	advanced
centre	begun
centre	broke
centre	delivered
centre	draw
centre	drew
centre	lay
centre	making
centre	refused
centre	â
centres	faced
centuries	repeated
century	adding
century	began
century	caused
century	come
century	considered
century	corresponding
century	defeats
century	fought
century	increase
century	indulged
century	interposed
century	led
century	mentioned
century	perpetuate
century	reproduced
century	serving
century	show
century	succeeding
century	written
century	â
challenges	accepted
chance	preserved
change	accomplished
change	use
changes	attributed
changes	paid
channel	differ
channel	hold
channel	naturalize
channel	turned
chapel	deserted
chapel	held
chapel	surmounted
chapter	deferred
character	allowed
charge	adapted
charge	arrest
charge	arresting
charge	commencing
charge	delivering
charge	driven
charge	exposed
charge	face
charge	failed
charge	lead
charge	leading
charge	left
charge	met
charge	opened
charge	rendered
charge	repulsing
charge	spur
charge	started
charge	took
charge	win
charge	won
charger	sit
charger	touched
chargers	fatigued
chargers	needed
charges	change
charges	delivered
charges	exhausted
charges	isolated
charges	met
charges	withstood
check	observing
check	received
chief	persuade
chiefs	serving
chivalry	attended
chosroes	found
chronicler	observes
chroniclers	impressed
chroniclers	paid
circle	form
circumstances	adapt
circumstances	bore
cloak	carried
club	mixed
clue	gives
co-religionists	enabled
coast	ravage
cohort	attached
cold	attacked
cold	prevailed
colour	give
colours	stand
column	advanced
column	approaching
column	broken
column	coming
column	commencing
column	exposed
column	facing
column	fell
column	formed
column	held
column	leading
column	left
column	met
column	pressed
column	retreating
column	thrust
columns	attacked
columns	attempted
columns	composed
columns	contending
columns	drove
columns	enable
columns	formed
columns	marching
columns	met
columns	opened
columns	received
columns	retired
columns	retreating
columns	suffered
combat	employed
combat	inspiriting
combatants	mowed
commander	come
commander	drawn
commander	offer
commander	prefer
commander	took
commander	trusted
commanders	appeared
commanders	becoming
commanders	committed
commanders	delivered
commanders	displayed
commanders	growing
commanders	neglected
commanders	obeyed
commanders	possess
commanders	practised
commanders	threw
commanders	troubled
commanders	â
commanderâ	threw
commines	called
commissariat	existed
commissariat	organized
communications	cut
communications	open
communications	sacrificed
companies	provided
companies	re-conquering
company	turned
composition	ascertained
comrade	fallen
comrade	stumbled
comrades	stepped
conclusion	dispersing
conclusion	draw
conclusion	drawn
conclusion	drew
conditions	introduced
condottiere	dismounted
condottiere	launched
condottiere	resorted
confederacy	consisted
confederates	allowing
confederates	armed
confederates	attacked
confederates	awaited
confederates	confronted
confederates	continued
confederates	crossed
confederates	employed
confederates	engaged
confederates	face
confederates	faced
confederates	found
confederates	gave
confederates	given
confederates	known
confederates	met
confederates	press
confederates	refused
confederates	sank
confederates	thrust
confederates	tried
confederates	waving
confederates	worked
confederates	â
confidence	placed
conflict	began
conflict	defer
conflict	renew
conflicts	avoided
conquerors	continued
conquerors	expelled
conquerors	quitted
conquerors	rode
consequences	ensure
consideration	found
consummation	accomplished
consummation	led
contempt	allied
contempt	has
contest	blocked
contest	declined
contest	opening
contests	designed
contingent	led
contingents	marched
contingents	spur
convoys	cutting
corps	broken
corps	carried
corps	confronted
corps	connected
corps	drawn
corps	flanked
corps	isolated
corps	placing
corps	spread
corps	suffered
corps	told
corpses	left
councils	appointed
countries	operate
country	delivering
country	deserted
country	divided
country	hold
country	live
country	re-conquering
country	waste
counts	face
courage	allied
courage	carry
courtiers	save
courtiers	superseded
crest	surmounted
crest	wore
crevant	defeats
cross-bowmen	beat
cross-bowmen	continued
cross-bowmen	dispute
crossbowmen	shot
crown	won
cruelty	distinguished
cry	raised
cuirass	wore
cuirasses	discard
culverins	brought
culverins	seized
cutlass	proved
dagger	provided
date	known
date	took
day	accomplished
day	carried
day	conduct
day	counted
day	decide
day	decided
day	driven
day	employing
day	ensuing
day	fight
day	gave
day	given
day	lost
day	marched
day	meet
day	prolonged
day	retrieve
day	settle
day	win
day	wins
day	won
days	find
days	found
days	held
days	waste
death	found
decades	find
deduction	suggested
defeat	expecting
defeat	take
defence	plead
defence	provided
defences	adopting
defences	left
defenders	exposed
defenders	showed
defensive	act
defensive	adapted
defensive	stand
defensive	take
defensive	taking
demonstrations	open
denominations	borrowed
depths	sink
derivation	pleaded
descriptions	divided
design	carried
desire	moved
desire	showed
despotism	begin
details	descending
developments	led
device	accustomed
device	brought
dictionary	gives
directions	gives
directions	stray
disadvantage	found
