athens	northern
beds	certain
butty	last
day	whole
december	3rd
galleries	subterranean
indies	black
ladders	long
ladders	wooden
manu-factories	likely
mastodon	fantastically-shaped
mastodon	huge
name	significant
nature	interesting
period	distant
pitch	highest
post	first
renown	greatest
shafts	useless
stock	underground
veins	smallest
years	few
years	last
years	many
character	touching
day	sad
families	many
family	great
masters	old
men	inside
men	old
men	outside
miner	dim
miner	oldest
pits	different
pits	other
remembrance	lasting
silence	profound
tears	dim
time	last
time	long
vein	new
work	common
works	outside
years	many
foreman	old
letter	possible
names	past
nature	interesting
nurse	good
nurse	old
overman	glad
soundings	lowest
times	old
vein	new
communication	first
conviction	absolute
engineer	worthy
envelope	coarse
fire	hot
hand	other
incident	unexpected
intention	malevolent
letter	open
letter	second
miner	clever
miner	endowed
miner	old
overman	old
post	third
sandstone	devonian
sandstone	red
sentence	single
atmosphere	thick
contradictor	anonymous
convulsions	internal
credence	more
crucible	gigantic
crust	terrestrial
crust	thin
day	next
depths	various
epoch	geological
fires	internal
forests	immense
forests	massive
forests	peaty
heat	internal
hoax	wiser
hoax	worth
letter	first
life	vegetative
mass	interior
mass	solid
planets	inferior
rain	cold
rains	condensed
rains	diluvial
reaction	irresistible
reaction	slow
sandstone	compact
sandstone	friable
soil	deep
soil	soft
spheroid	terrestrial
state	semi-fluid
strata	unfixed
surface	terrestrial
thought	whole
words	few
beds	higher
circumstances	plain
coal	soft
event	important
event	plain
letter	anonymous
letter	second
likeness	exact
man	young
overman	old
part	considerable
period	geological
seams	new
shells	star-fish
vein	smallest
working	rapid
letter	anonymous
mine	native
mine	old
miner	young
minutes	few
apprentices	more
chimney	cylindrical
chimney	prismatic
chimney	tall
contrast	greater
cows	hornless
days	accustomed
days	earliest
expression	passive
eye	saddened
eyes	blue
eyes	deep
eyes	regular
ground	black
inclinations	own
lads	more
look	bright
looks	grave
man	young
miner	young
sleepers	rotten
vapor	white
whistlings	distant
winter	greater
abyss	silent
bit	last
day	fine
forests	external
forests	subterranean
forethought	more
globe	own
landings	narrow
life	exciting
lifts	automatic
machines	ingenious
man	young
movement	simple
nations	other
pace	rapid
person	indifferent
slides	wooden
trees	few
trees	wretched
use	practical
volcano	extinct
air	open
billow	sonorous
explosions	fire-damp
gallery	lower
head	better
ladder	upper
landing	fifteenth
man	young
miner	habitual
minutes	few
obscurity	profound
shaft	dark
act	first
burst	magnificent
face	merry
miner	young
minutes	few
galleries	empty
galleries	numerous
ladder	last
pit	old
place	impossible
trade	better
beams	great
beams	roughly-hewn
chance	mere
gallery	high
labyrinth	dark
lad	anxious
light	electric
man	young
pillars	artificial
pit	old
step	false
stone	huge
vaultings	old
vaultings	secure
advantages	other
air	warm
britain	great
century	eleventh
century	same
century	thirteenth
century	twelfth
density	lesser
dwelling	subterranean
excavation	dark
excavation	vast
fellows	fine
fellows	many
gallery	principal
mass	schistous
mine	happy
mine	preferred
miner	young
miners	plain
nave	dark
noise	distant
opinions	same
overman	old
rays	few
animation	former
day	wearied
domain	black
galleries	dark
grief	only
housekeeping	subterranean
luck	good
overman	old
pit	well-worked
place	healthy
place	same
splendor	past
temperature	equable
temperature	subject
veins	new
years	long
breakfast	good
capital	old
cold	heavy
cottage	dark
house	hospitable
house	less
lamps	numerous
months	few
sea	rough
soup	ready
thing	chief
viewer	former
walk	long
world	independent
world	outer
appetite	good
dinner	good
face	straight
fellow	honest
fellow	merry
letter	anonymous
letter	interesting
miner	hungry
nature	interesting
cockyleeky	same
dish	principal
dish	remarkable
hour	good
invitation	good
letter	anonymous
letter	more
miner	old
pudding	national
son	affectionate
son	good
soup	cold
beings	imaginary
beliefs	superstitious
depths	lowest
explosions	terrible
father	other
hand	left
hanging	third
mines	dark
nights	tempestuous
overman	old
pick	strong
reason	bad
reason	good
repertory	mythological
scotch	superstitious
stick	long
supper	good
vein	unworked
woman	good
ant-hill	enormous
beings	certain
beings	strange
blow	sharp
burrows	full
caves	full
caves	perforated
companions	credulous
cross-alley	narrow
crypt	dismal
day	immovable
day	obstinate
day	single
dramas	fantastical
formation	primary
galleries	long
galleries	subterranean
illusion	acoustic
labyrinth	subterranean
life	whole
light	bright
minds	more
minds	practical
personages	supernatural
phenomena	certain
pits	different
prosperity	former
scenery	ready
shafts	perforated
sound	favor-able
sounds	similar
times	other
times	several
to-day	unsuccessful
tract	full
tract	perforated
tract	vast
traditions	old
tunnel	empty
work	mysterious
attempt	direct
care	greatest
cause	physical
explanation	simple
exploration	regular
gallery	principal
lamp	necessary
light	dim
man	old
mine	unknown
moss	white
occurrence	physical
occurrence	queer
overman	old
person	ill-disposed
reports	distant
time	careful
time	second
tunnel	narrow
vein	new
way	satisfactory
man	old
mine	dead
mine	old
vein	last
vein	new
vessel	disabled
air	pure
catastrophe	frightful
enemy	old
explosions	little
explosions	partial
flame	blue
galleries	further
gas	bad
gas	injurious
gases	inflammable
hand	right
miner	old
name	proper
overman	old
robe	long
years	five-and-fifty
years	older
coal-seam	new
depth	less
depth	more
explosions	little
explosions	partial
explosions	small
extent	large
flow	continuous
gallery	farthest
gas	explosive
jet	small
miner	old
part	western
question	chief
sandstone	tertiary
schist	necessary
sense	keen
vein	important
air	open
gas	little
gas	much
head	high
lips	tight
mark	whitish
movement	sudden
nothing	crackling
nothing	peculiar
stream	small
times	several
voice	altered
bed	carboniferous
bed	undiscovered
blows	quick
blows	sharp
burns	fire-damp
flame	blue
flame	little
flame	red
man	young
outline	blue
report	slight
sound	slight
soundings	undiscovered
bed	new
breakfast	substantial
crowbar	heavy
days	old
friend	old
future	uneasy
journey	necessary
lantern	large
may	new
mine	old
miner	old
miners	regular
overman	old
