accidents	happen
arms	jumped
arms	stood
aunt	follow
baby	rocked
balloon	going
beds	looking
cradle	rocked
direction	coming
dishes	washing
door-step	sat
doorway	stood
ear	caught
ears	reached
eyes	taken
family	go
feather	carry
floor	led
floor	sat
footing	lost
fright	got
future	bring
glance	told
grass	bowed
ground	dug
hand	scream
hole	climbed
hole	crept
hole	led
hole	sticking
hours	passed
house	broke
house	fell
house	painted
house	rose
house	shook
house	stood
house	tipped
house	whirled
ladder	led
laughter	startled
mass	plowed
miles	carried
morning	worked
night	worked
north	heard
paint	blistered
ripples	saw
room	contained
room	dragged
room	ran
sheds	ran
sparkle	taken
stock	go
storm	bowed
storm	coming
sun	blistered
sun	burned
sun	running
sun	washed
surroundings	growing
thing	happened
times	whirled
trap-door	closing
trap-door	got
voice	reached
waves	bowed
wife	called
wife	changed
wife	smiled
wife	told
wind	howled
wind	shrieked
wind	wail
winds	met
work	dropped
bed	lying
bed	sprang
boots	wore
breath	wonder
cyclone	carried
cyclone	set
diamonds	glistened
door	ran
doorway	standing
eyes	closed
face	covered
face	put
feet	sticking
fruits	bearing
hands	clasping
hat	sprinkled
house	drew
house	fallen
house	moving
house	rested
looks	go
men	dressed
men	moved
men	wore
messenger	sent
miles	carried
mistake	expected
nose	put
people	drew
people	paused
people	setting
people	whispered
plaits	hung
point	rose
prairies	lived
room	flooding
shock	awakened
shoulders	hung
sights	looking
sights	saw
sorceress	calling
speech	listened
sun	glistened
thing	replied
toes	rested
tops	wore
woman	replied
woman	walked
wrinkles	covered
years	held
aunt	get
cap	changed
cap	took
child	answered
countries	believe
dust	shaking
eyes	bowed
eyes	seemed
handkerchiefs	took
head	bowed
heads	shook
house	carried
magicians	believe
nose	took
people	love
point	balanced
question	ask
shout	gave
slate	changed
slate	read
slate	took
slave	passed
sorceresses	believe
sun	dried
table	placed
tears	drying
tears	seemed
time	think
uncle	get
voice	counted
voice	sinking
way	find
way	passed
whisper	sinking
witch	answered
witch	dried
witch	facing
witch	looked
witch	lying
witches	dwelt
witches	left
wizard	answered
wizards	left
woman	am
woman	answered
woman	asked
woman	balanced
woman	counted
woman	inquired
woman	love
woman	set
woman	took
words	read
basket	filled
basket	picked
basket	took
bed	peg
blue	faded
branches	hanging
bread	spread
breakfast	help
brook	carried
cloth	laying
color	painted
country	whisked
door	closed
door	locked
dwellings	looking
eyes	looked
face	looked
feet	looked
fences	painted
fiddlers	played
forehead	kissed
frock	faded
fruits	loaded
gingham	dressed
head	tied
heel	whirled
house	pass
journey	bowed
journey	walked
kiss	give
lips	touched
man	get
man	seen
man	tell
night	pass
nod	gave
one	dare
ones	ask
ones	fitted
ones	go
ones	tried
oz	ask
oz	get
oz	ruled
oz	told
pail	carried
pail	filled
pail	taking
people	laughing
roadbed	tinkling
round	left
scarecrow	saved
shelf	taking
story	tell
sun	shone
sunbonnet	tied
table	lying
tail	wagged
things	eat
things	laughing
time	walking
times	whirled
top	laying
trees	walked
walk	take
walk	tired
washings	faded
way	disappear
witch	destroying
arms	reached
back	stuck
birds	keep
breakfast	ate
chin	leaned
clothes	faded
clothes	stuffed
corn	keep
country	wore
crows	scare
dancing	watching
days	take
eyes	represent
eyes	stuffed
face	represent
fence	climbed
fence	walked
figure	lifted
figure	nodded
figure	raised
freedom	celebrate
friends	gathered
girl	asked
girl	back
girl	going
girl	know
ground	set
hand	leaned
hand	painted
hat	belonged
hat	perched
house	led
land	come
man	bow
man	feel
man	speak
man	stuffed
man	walk
miles	gone
morning	slept
munchkin	belonged
night	pass
people	greeted
people	invited
people	pass
queer	looking
queer	painted
rug	curled
settee	sat
sorceress	saw
sorceresses	wear
supper	ate
tail	pulled
way	crowed
way	nodded
witch	killed
witch	know
witch	think
witches	know
addition	like
brains	give
brains	having
brains	stuffed
bread	eating
bread	got
brick	stumbled
bricks	fell
brook	sat
child	asked
child	looked
country	leave
country	live
country	tell
cyclone	carried
dinner	finished
ears	paint
feet	set
fence	helped
fool	call
head	stays
heads	stuffed
hole	cut
holes	jumped
holes	stepped
hours	began
man	smelled
man	stuffed
man	suspected
match	's
match	lighted
match	tell
mishap	laughing
mouth	painted
mouth	spoil
noon	sat
party	like
people	want
piece	offered
pin	feel
pin	matter
pin	sticks
places	live
road	began
road	hurt
road	walked
roadside	sat
story	tell
straw	hurt
way	growled
arm	carried
basket	handed
birds	flew
body	make
brains	get
branches	met
branches	shut
bread	stick
child	answered
child	lay
child	led
corner	standing
corner	stood
cornfield	carried
cornfield	flew
cottage	reached
cottage	see
crow	comforted
crow	flew
crows	flew
crows	gone
crows	saw
crows	scare
dark	see
darkness	stumbling
daylight	shut
dogs	see
eyes	make
farmer	carried
farmer	left
farmer	looking
farmer	painted
farmer	set
farmer	thought
farmer	walked
farmer	watching
feet	hopped
feet	touch
friend	walked
girl	handed
ground	touch
head	fastened
manner	fool
munchkin	feel
munchkin	flew
munchkin	fool
munchkin	forced
munchkin	harmed
munchkin	like
munchkin	looking
munchkin	remarked
munchkin	saw
munchkin	thinking
munchkin	tried
munchkin	wonder
night	pass
pole	stay
shoulder	perched
sleep	fell
stick	found
stick	set
sun	shining
throat	stick
time	know
travellers	go
travellers	leads
travellers	stop
trees	grew
trees	led
trees	shining
way	deserted
basket	left
body	jointed
brains	ask
brains	put
breakfast	bathed
comrade	join
cottage	left
cottage	ran
creature	seemed
creature	thanked
ears	reached
groan	hear
groan	reached
head	jointed
head	put
head	stuffed
heart	give
hole	stumbled
hole	walk
joints	get
journey	begun
life	saved
meal	finished
moment	think
night	pass
oil-can	find
oil-can	found
oil-can	need
one	come
one	heard
oz	give
oz	going
oz	help
oz	see
party	cleared
party	join
passage	cleared
place	ran
release	thanked
steps	discovered
teeth	hurt
travellers	pass
tree	leaned
trees	fell
trees	walked
year	groaning
action	angered
arms	cut
axe	cut
axe	enchanted
axe	slipped
basket	empty
boy	protect
boy	spoke
branches	covered
branches	dried
bread	gone
child	asked
child	bear
child	protect
child	tell
companions	walking
cottage	kept
country	love
cow	prevent
danger	thought
father	died
fool	know
forehead	bear
forest	walking
girl	lived
girl	marry
girl	remain
girl	wished
halves	cut
head	cut
heart	beat
heart	care
heart	get
heart	lost
heart	take
house	build
house	get
